"","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","occupancy_6005",0.02,0.29,NA,0.01,0.03,0.05,0.01,0.02,0.29,NA,0.01,0.03,0.05,0.01
"2","occupancy_t4013",0.07,0.33,0.12,0.03,0.03,0.17,0.02,0.07,0.33,0.23,0.03,0.06,0.17,0.02
"3","speed_6005",0.02,0.33,0.15,NA,NA,0.13,0.01,0.02,0.33,0.15,0.02,0.03,0.13,0.01
"4","speed_7578",0.1,0.17,0.1,0.05,0.05,0.13,0.04,0.1,0.17,0.25,0.06,0.13,0.13,0.05
"5","speed_t4013",0.03,0.08,NA,0.02,NA,0.05,0.01,0.03,0.08,0.1,0.02,0.05,0.05,0.01
"6","TravelTime_387",0.02,0.03,0.14,NA,0.03,0.02,0.01,0.02,0.04,0.14,0.01,0.07,0.03,0.01
"7","TravelTime_451",0.02,0.02,0.05,NA,0.03,0.01,NA,0.02,0.02,0.05,0.01,0.03,0.01,0
