"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"24","serie3",NA,0.02,0.02,1,NA,NA,0.05,NA,0.01,NA,0.02,NA,0.02,0.02,1,0.03,NA,0.05,NA,0.01,NA,0.02
"25","serie30",0.67,NA,0.02,0.5,NA,NA,0.05,1,0.02,0.03,0.02,0.67,0.01,0.02,0.5,0.02,NA,0.05,1,0.02,0.03,0.02
"26","serie31",0.8,0.03,0.08,0.57,0.04,0.33,0.09,0.67,0.07,0.15,0.04,0.8,0.04,0.08,0.57,0.04,0.33,0.09,0.67,0.07,0.15,0.04
"27","serie32",0.86,0.05,0.13,0.43,0.08,0.2,0.12,1,0.05,0.17,0.05,0.86,0.08,0.13,0.43,0.08,0.2,0.14,1,0.07,0.17,0.06
"28","serie33",0.33,NA,0.02,0.5,NA,NA,0.05,NA,0.02,NA,0.02,0.33,0.01,0.02,0.5,0.02,NA,0.05,NA,0.02,NA,0.02
"29","serie34",0.8,0.04,0.08,0.67,0.03,NA,0.05,0.67,0.05,0.17,0.05,0.8,0.04,0.08,0.67,0.03,0.37,0.12,0.67,0.06,0.17,0.05
"30","serie35",0.78,0.05,0.17,0.46,0.06,0.67,0.13,0.95,0.15,0.11,0.09,0.78,0.05,0.17,0.46,0.06,0.67,0.13,0.95,0.15,0.11,0.12
"31","serie36",NA,0.01,0.02,0.67,NA,NA,NA,NA,0.02,NA,0.02,NA,0.01,0.02,0.67,NA,NA,0.04,NA,0.02,0.05,0.02
"32","serie37",0.8,0.04,0.08,0.44,0.03,0.5,0.05,1,0.07,0.07,0.03,0.8,0.04,0.08,0.44,0.03,0.5,0.11,1,0.07,0.07,0.04
"33","serie38",0.35,0.02,0.16,0.46,0.11,0.18,0.12,NA,0.1,0.14,0.05,0.45,0.04,0.16,0.46,0.11,0.18,0.14,NA,0.12,0.14,0.05
"34","serie39",0.33,0.02,0.02,0.67,NA,NA,0.05,1,0.02,0.05,0.02,0.33,0.02,0.02,0.67,0.01,NA,0.05,1,0.02,0.05,0.02
"35","serie4",NA,0.03,0.04,0.4,0.06,NA,0.05,NA,0.07,NA,0.04,NA,0.03,0.07,0.4,0.06,NA,0.12,NA,0.07,NA,0.04
"36","serie40",0.29,NA,0.07,0.33,0.04,NA,NA,NA,0.08,NA,0.04,0.29,0.02,0.07,0.33,0.04,NA,0.03,NA,0.08,NA,0.04
"37","serie41",0.86,0.03,0.16,0.5,0.07,0.67,0.13,1,0.15,0.16,0.09,0.86,0.06,0.16,0.5,0.07,0.67,0.14,1,0.15,0.16,0.09
"38","serie42",0.29,0.01,0.02,0.29,NA,NA,0.06,1,0.02,0.02,0.02,0.29,0.01,0.02,0.29,0.02,NA,0.06,1,0.02,0.02,0.02
"39","serie43",0.62,0.02,0.07,0.67,0.02,0.4,0.05,1,0.07,0.09,0.03,0.62,0.04,0.07,0.67,0.02,0.4,0.07,1,0.07,0.09,0.04
"40","serie44",0.82,0.04,0.15,0.43,0.07,0.5,0.13,1,0.06,0.11,0.05,0.82,0.04,0.15,0.43,0.07,0.5,0.13,1,0.11,0.11,0.06
"41","serie45",0.17,NA,0.02,0.29,NA,NA,0.05,NA,0.02,NA,0.02,0.17,0.01,0.02,0.29,0.02,NA,0.05,NA,0.02,0.05,0.02
"42","serie46",0.47,NA,0.07,0.57,0.03,NA,0.05,1,0.04,0.05,0.03,0.47,0.02,0.07,0.57,0.03,NA,0.09,1,0.04,0.1,0.03
"43","serie47",0.72,0.04,0.14,0.46,0.09,0.67,0.12,1,0.17,0.17,0.06,0.72,0.05,0.14,0.46,0.09,0.67,0.12,1,0.17,0.17,0.07
"44","serie48",0.22,NA,0.02,0.33,NA,NA,0.06,1,0.02,NA,0.02,0.22,0.01,0.02,0.33,0.02,NA,0.06,1,0.02,NA,0.02
"45","serie49",0.5,0.05,0.06,0.44,0.04,0.5,0.05,1,0.07,0.06,0.04,0.5,0.05,0.06,0.44,0.05,0.5,0.11,1,0.07,0.06,0.04
"46","serie5",0.5,0.05,0.08,0.2,0.08,0.33,0.12,NA,0.08,0.19,0.05,0.5,0.09,0.11,0.2,0.08,0.33,0.12,NA,0.11,0.19,0.05
"47","serie50",0.57,0.03,0.16,0.5,0.1,NA,0.12,1,0.05,0.12,0.05,0.65,0.06,0.16,0.5,0.1,NA,0.14,1,0.05,0.14,0.05
"48","serie51",0.29,NA,0.02,0.5,NA,NA,0.05,1,0.02,0.02,0.02,0.29,0.01,0.02,0.5,0.02,NA,0.05,1,0.02,0.02,0.02
"49","serie52",0.47,0.01,0.08,0.44,0.03,0.33,0.05,0.67,0.08,0.09,0.08,0.47,0.02,0.08,0.44,0.03,0.33,0.09,0.67,0.08,0.09,0.08
"50","serie53",0.72,0.05,0.14,0.46,0.07,0.67,0.13,1,0.15,0.11,0.04,0.72,0.07,0.14,0.46,0.07,0.67,0.14,1,0.15,0.11,0.06
"51","serie54",NA,NA,0.02,NA,NA,NA,NA,NA,0.02,NA,0.02,NA,NA,0.02,NA,NA,NA,NA,NA,0.02,NA,0.02
"52","serie55",0.62,0.03,0.07,0.57,0.03,0.5,0.05,1,0.08,0.14,0.04,0.62,0.03,0.07,0.57,0.03,0.5,0.12,1,0.08,0.14,0.04
"53","serie56",0.62,0.01,0.16,0.38,0.06,0.36,0.13,1,0.05,0.11,0.05,0.62,0.01,0.16,0.38,0.06,0.36,0.13,1,0.05,0.11,0.06
"54","serie57",0.15,NA,0.02,0.5,NA,NA,0.05,1,0.02,NA,0.02,0.15,0.01,0.02,0.5,0.02,NA,0.05,1,0.02,0.04,0.02
"55","serie58",0.73,0.01,0.07,0.44,0.02,NA,0.05,1,0.04,0.07,0.04,0.73,0.02,0.07,0.44,0.02,NA,0.11,1,0.04,0.07,0.04
"56","serie59",0.75,0.03,0.15,0.38,0.08,0.67,0.13,1,0.18,0.13,0.06,0.75,0.05,0.15,0.38,0.08,0.67,0.13,1,0.18,0.13,0.06
"57","serie6",NA,0.01,0.02,NA,NA,NA,0.06,NA,0.02,NA,0.03,NA,0.01,0.02,NA,0.03,NA,0.06,NA,0.02,NA,0.03
"58","serie60",0.67,0.01,0.29,1,NA,NA,0.06,1,0.01,0.07,0.02,0.67,0.01,0.29,1,0.06,NA,0.06,1,0.01,0.07,0.02
"59","serie61",NA,0.05,0.14,NA,0.12,NA,0.05,NA,0.07,NA,0.04,NA,0.05,0.14,NA,0.12,NA,0.12,NA,0.07,NA,0.04
"60","serie62",0.86,0.06,0.16,0.5,0.05,0.36,0.1,1,0.12,0.15,0.06,0.86,0.07,0.28,0.5,0.05,0.36,0.14,1,0.13,0.15,0.06
"61","serie63",0.67,0.01,0.03,1,NA,NA,0.05,1,0.01,0.04,0.02,0.67,0.01,0.03,1,0.02,NA,0.05,1,0.01,0.04,0.02
"62","serie64",NA,0.05,0.07,0.67,0.05,NA,0.05,NA,0.08,NA,0.04,NA,0.07,0.07,0.67,0.05,NA,0.12,NA,0.08,NA,0.04
"63","serie65",0.86,0.08,0.08,0.5,0.1,0.67,0.07,1,0.09,0.12,0.06,0.86,0.09,0.15,0.5,0.11,0.67,0.11,1,0.09,0.12,0.06
"64","serie66",NA,0.01,0.02,NA,NA,NA,0.05,NA,0.02,NA,0.02,NA,0.01,0.02,NA,0.03,NA,0.05,NA,0.02,NA,0.02
"65","serie67",0.8,0.08,0.07,0.67,0.04,0.5,0.11,1,0.05,0.08,0.04,0.8,0.08,0.07,0.67,0.05,0.5,0.11,1,0.05,0.08,0.04
"66","serie68",0.5,0.02,0.05,0.2,0.1,0.2,0.14,NA,0.06,0.27,0.05,0.5,0.06,0.1,0.2,0.1,0.2,0.14,NA,0.06,0.27,0.05
"67","serie69",0.67,0.02,0.03,1,NA,NA,0.06,1,0.01,0.06,0.02,0.67,0.02,0.03,1,0.02,NA,0.06,1,0.01,0.06,0.02
"68","serie7",0.8,0.06,0.07,0.57,0.04,0.5,0.09,1,0.06,0.08,0.04,0.8,0.06,0.07,0.57,0.06,0.5,0.09,1,0.06,0.08,0.05
"69","serie70",0.8,0.01,0.07,0.67,0.02,NA,0.05,1,0.06,0.07,0.04,0.8,0.02,0.07,0.67,0.02,NA,0.09,1,0.06,0.07,0.05
"70","serie71",0.71,0.05,0.09,0.5,0.07,0.2,0.13,1,0.06,0.13,0.06,0.71,0.08,0.14,0.5,0.07,0.2,0.15,1,0.07,0.13,0.07
"71","serie72",0.67,0.02,0.02,0.67,NA,NA,0.04,1,0.01,0.04,0.02,0.67,0.02,0.02,0.67,0.01,NA,0.04,1,0.01,0.04,0.02
"72","serie73",0.89,0.05,0.08,0.67,0.04,0.33,0.05,0.67,0.07,0.15,0.04,0.89,0.05,0.08,0.67,0.04,0.33,0.09,0.67,0.07,0.19,0.04
"73","serie74",0.86,0.03,0.15,0.5,0.06,0.2,0.14,1,0.09,0.12,0.06,0.86,0.05,0.15,0.5,0.06,0.2,0.14,1,0.12,0.12,0.06
"74","serie75",1,NA,0.02,1,NA,NA,0.05,NA,0.02,NA,0.02,1,0.01,0.02,1,0.03,NA,0.05,NA,0.02,NA,0.02
"75","serie76",0.8,0.04,0.07,0.67,0.02,NA,0.06,1,0.04,0.13,0.04,0.8,0.04,0.07,0.67,0.02,NA,0.14,1,0.04,0.13,0.04
"76","serie77",0.86,0.09,0.06,0.5,0.07,0.67,0.12,0.36,0.13,0.11,0.05,0.86,0.09,0.11,0.5,0.07,0.67,0.12,0.36,0.13,0.11,0.06
"77","serie78",NA,0.01,0.02,0.67,NA,NA,0.05,NA,0.02,NA,0.02,NA,0.01,0.02,0.67,0.03,NA,0.05,NA,0.02,0.04,0.02
"78","serie79",0.8,0.04,0.07,0.44,0.04,0.5,0.05,1,0.09,0.07,0.04,0.8,0.04,0.07,0.44,0.05,0.5,0.11,1,0.09,0.07,0.04
"79","serie8",NA,0.04,0.11,0.36,0.11,NA,0.13,NA,0.12,0.05,0.05,NA,0.05,0.16,0.36,0.12,NA,0.14,NA,0.13,0.08,0.05
"80","serie80",0.8,0.04,0.12,0.46,0.1,0.2,0.12,NA,0.08,0.19,0.05,0.8,0.06,0.17,0.46,0.1,0.2,0.13,NA,0.11,0.25,0.07
"81","serie81",0.67,0.01,0.02,0.67,NA,NA,0.05,1,0.02,0.04,0.02,0.67,0.01,0.02,0.67,0.02,NA,0.05,1,0.02,0.04,0.02
"82","serie82",0.8,NA,0.07,0.67,0.04,NA,NA,NA,0.08,NA,0.03,0.8,0.02,0.07,0.67,0.04,NA,0.04,NA,0.08,NA,0.04
"83","serie83",0.86,0.07,0.15,0.5,0.06,0.67,0.14,1,0.14,0.13,0.1,0.86,0.08,0.15,0.5,0.06,0.67,0.14,1,0.14,0.13,0.1
"84","serie84",0.67,0.01,0.02,0.67,NA,NA,0.06,1,0.02,0.02,0.02,0.67,0.01,0.02,0.67,0.02,NA,0.06,1,0.02,0.02,0.02
"85","serie85",0.73,0.06,0.07,0.67,0.05,0.33,0.05,1,0.08,0.08,0.04,0.73,0.06,0.07,0.67,0.06,0.33,0.07,1,0.08,0.08,0.04
"86","serie86",0.86,0.03,0.16,0.4,0.06,0.5,0.13,1,0.1,0.12,0.05,0.86,0.03,0.16,0.4,0.06,0.5,0.15,1,0.12,0.12,0.06
"87","serie87",0.4,NA,0.02,0.25,NA,NA,0.05,1,0.02,NA,0.02,0.4,0.01,0.02,0.25,0.01,NA,0.05,1,0.02,NA,0.02
"88","serie88",0.8,0.02,0.07,0.67,0.02,NA,0.11,1,0.03,0.08,0.03,0.8,0.03,0.07,0.67,0.02,NA,0.11,1,0.04,0.08,0.03
"89","serie89",0.86,0.05,0.09,0.46,0.07,0.67,0.13,1,0.16,0.16,0.09,0.86,0.05,0.14,0.46,0.07,0.67,0.13,1,0.16,0.16,0.1
"90","serie9",0.67,0.01,0.02,1,NA,NA,0.05,1,0.02,0.07,0.02,0.67,0.01,0.02,1,0.02,NA,0.05,1,0.02,0.07,0.02
"91","serie90",0.67,NA,0.02,0.5,NA,NA,0.06,1,0.02,0.1,0.02,0.67,0.01,0.02,0.5,0.02,NA,0.06,1,0.02,0.1,0.02
"92","serie91",0.67,0.02,0.07,0.57,0.03,0.5,0.05,1,0.06,0.06,0.04,0.67,0.03,0.07,0.57,0.04,0.5,0.11,1,0.06,0.06,0.04
"93","serie92",0.9,0.06,0.16,0.5,0.09,NA,0.13,1,0.06,0.14,0.05,0.9,0.07,0.16,0.5,0.09,NA,0.14,1,0.06,0.14,0.06
"94","serie93",0.67,0.02,0.02,0.5,NA,NA,0.05,1,0.02,0.02,0.02,0.67,0.02,0.02,0.5,0.02,NA,0.05,1,0.02,0.02,0.02
"95","serie94",0.8,NA,0.08,0.57,0.03,NA,0.05,1,0.06,0.11,0.04,0.8,0.01,0.08,0.57,0.03,NA,0.11,1,0.08,0.15,0.04
"96","serie95",0.78,0.03,0.15,0.5,0.06,0.67,0.08,1,0.14,0.12,0.05,0.78,0.06,0.15,0.5,0.06,0.67,0.15,1,0.14,0.12,0.06
"97","serie96",0.29,NA,0.02,0.5,NA,NA,NA,NA,0.02,NA,0.02,0.29,0.01,0.02,0.5,0.03,NA,0.03,NA,0.02,NA,0.02
"98","serie97",0.8,0.06,0.07,0.67,0.04,0.5,0.05,1,0.08,0.09,0.04,0.8,0.06,0.07,0.67,0.04,0.5,0.12,1,0.08,0.09,0.04
"99","serie98",0.75,0.02,0.16,0.46,0.05,0.36,0.12,0.47,0.05,0.11,0.05,0.75,0.03,0.16,0.46,0.05,0.36,0.12,0.47,0.06,0.11,0.06
"100","serie99",0.4,NA,0.02,0.67,NA,NA,0.05,1,0.02,0.04,0.02,0.4,0.01,0.02,0.67,0.01,NA,0.05,1,0.02,0.04,0.02
