"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"1","serie1",NA,0.07,0.15,0.67,0.04,NA,0.05,NA,0.03,0.08,0.04,NA,0.07,0.15,0.67,0.04,NA,0.12,NA,0.06,0.15,0.04
"2","serie10",0.57,0.03,0.07,0.4,0.05,NA,0.1,NA,0.07,NA,0.03,0.57,0.04,0.07,0.4,0.05,NA,0.1,NA,0.07,NA,0.03
"3","serie100",0.8,0.06,0.07,0.44,0.02,NA,0.05,1,0.04,0.06,0.03,0.8,0.06,0.07,0.44,0.02,NA,0.11,1,0.04,0.06,0.04
"4","serie11",0.86,0.07,0.15,0.5,0.1,0.46,0.15,1,0.15,0.17,0.05,0.86,0.11,0.15,0.5,0.1,0.46,0.15,1,0.15,0.17,0.06
"5","serie12",NA,NA,0.02,NA,NA,NA,0.05,NA,0.02,NA,0.03,NA,0.01,0.02,NA,0.03,NA,0.05,NA,0.02,NA,0.03
"6","serie13",0.8,0.05,0.07,0.67,0.05,0.5,0.05,0.67,0.07,0.14,0.05,0.8,0.05,0.07,0.67,0.05,0.5,0.12,0.67,0.07,0.21,0.05
"7","serie14",0.86,0.08,0.16,0.46,0.06,0.5,0.12,1,0.07,0.11,0.08,0.86,0.12,0.16,0.46,0.06,0.5,0.12,1,0.09,0.11,0.1
"8","serie15",NA,0.01,0.02,1,NA,NA,0.05,NA,0.02,NA,0.02,NA,0.01,0.02,1,0.02,NA,0.05,NA,0.02,0.05,0.02
"9","serie16",0.8,0.01,0.07,0.67,0.03,NA,0.04,1,0.04,0.08,0.04,0.8,0.05,0.07,0.67,0.03,NA,0.1,1,0.04,0.11,0.04
"10","serie17",0.5,0.05,0.12,0.46,0.1,0.33,0.12,NA,0.09,0.22,0.05,0.5,0.05,0.17,0.46,0.1,0.33,0.14,NA,0.09,0.26,0.05
"11","serie18",0.18,0.02,0.07,0.2,0.04,0.33,0.04,NA,0.04,NA,0.03,0.35,0.03,0.1,0.2,0.04,0.33,0.05,NA,0.09,NA,0.07
"12","serie19",NA,0.02,0.07,0.67,0.06,NA,0.1,NA,0.04,NA,0.04,NA,0.03,0.07,0.67,0.06,NA,0.12,NA,0.04,NA,0.04
"13","serie2",0.5,0.08,0.17,0.36,0.07,0.2,0.13,NA,0.09,0.16,0.18,0.5,0.09,0.17,0.36,0.07,0.2,0.13,NA,0.13,0.2,0.18
"14","serie20",0.95,0.08,0.1,0.5,0.09,0.36,0.12,0.36,0.14,0.16,0.06,0.95,0.08,0.15,0.5,0.09,0.36,0.14,0.36,0.15,0.16,0.06
"15","serie21",0.18,0.04,0.07,0.15,0.1,NA,0.05,0.2,0.04,0.05,0.04,0.18,0.04,0.09,0.15,0.12,NA,0.05,0.2,0.09,0.05,0.06
"16","serie22",NA,0.01,0.02,0.67,NA,NA,0.05,NA,0.02,NA,0.02,NA,0.01,0.02,0.67,0.03,NA,0.05,NA,0.02,NA,0.02
"17","serie23",0.86,0.04,0.16,0.46,0.06,0.67,0.12,1,0.14,0.12,0.06,0.86,0.04,0.16,0.46,0.06,0.67,0.13,1,0.14,0.12,0.06
"18","serie24",NA,0.01,0.02,NA,NA,NA,NA,NA,0.02,NA,0.02,NA,0.01,0.02,NA,NA,NA,0.04,NA,0.02,NA,0.02
"19","serie25",0.8,0.01,0.07,0.5,0.03,0.5,0.05,1,0.07,0.1,0.03,0.8,0.03,0.07,0.5,0.03,0.5,0.09,1,0.07,0.1,0.04
"20","serie26",0.43,0.04,0.1,0.2,0.11,0.2,0.08,NA,0.14,0.24,0.06,0.43,0.06,0.14,0.2,0.12,0.2,0.13,NA,0.14,0.24,0.06
"21","serie27",0.67,0.01,0.02,0.4,NA,NA,0.05,1,0.02,NA,0.02,0.67,0.01,0.02,0.4,0.01,NA,0.05,1,0.02,0.23,0.02
"22","serie28",0.8,0.01,0.07,0.5,0.02,NA,0.05,1,0.04,0.06,0.04,0.8,0.02,0.07,0.5,0.02,NA,0.11,1,0.04,0.06,0.06
"23","serie29",0.82,0.03,0.16,0.5,0.09,0.36,0.08,1,0.18,0.15,0.05,0.82,0.05,0.16,0.5,0.09,0.36,0.14,1,0.18,0.15,0.06
