"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"21","serie27",0.07,0.05,0.1,0.22,NA,NA,0.29,0.04,0.11,0.01,0.11,0.11,0.06,0.1,0.22,0.15,0.07,0.4,0.09,0.14,0.05,0.13
"22","serie28",0.16,0.02,0.16,0.5,NA,0.06,0.07,0.4,0.14,0.01,0.15,0.22,0.04,0.16,0.5,0.23,0.06,0.29,0.4,0.14,0.09,0.15
"23","serie29",0.17,0.08,0.18,0.35,NA,NA,0.18,0.35,0.16,0.02,0.16,0.25,0.1,0.18,0.35,0.19,0.11,0.28,0.35,0.16,0.07,0.16
"24","serie3",0.04,0.05,0.06,0.22,NA,NA,0.15,0.08,0.06,NA,0.06,0.05,0.05,0.06,0.22,0.15,NA,0.2,0.1,0.06,0.04,0.06
"25","serie30",0.08,0.02,0.07,0.57,0.01,NA,0.08,NA,0.07,0.01,0.06,0.08,0.03,0.07,0.57,0.05,NA,0.13,NA,0.07,0.03,0.06
"26","serie31",0.01,0.02,0.02,NA,NA,NA,0.11,0.01,0.03,NA,0.02,0.03,0.02,0.02,NA,0.04,NA,0.12,0.01,0.03,0.01,0.02
"27","serie32",0.12,0.05,0.1,0.4,NA,0.03,0.17,0.07,0.12,NA,0.11,0.14,0.08,0.11,0.4,0.16,0.06,0.31,0.1,0.12,0.06,0.11
"28","serie33",0.1,0.01,0.05,0.75,NA,NA,0.09,0.6,0.05,0.01,0.05,0.1,0.03,0.05,0.75,0.1,NA,0.17,0.6,0.05,0.03,0.05
"29","serie34",0.34,0.05,0.11,0.67,0.02,0.18,0.15,0.77,0.1,0.01,0.12,0.34,0.07,0.11,0.67,0.13,0.34,0.21,0.77,0.1,0.03,0.13
"30","serie35",0.07,0.02,0.09,0.24,NA,NA,0.14,0.08,0.1,0.01,0.09,0.08,0.05,0.09,0.24,0.12,0.03,0.2,0.11,0.1,0.03,0.1
"31","serie36",0.24,0.08,0.18,0.5,0.05,0.07,0.13,0.5,0.16,0.05,0.15,0.24,0.12,0.2,0.5,0.11,0.07,0.28,0.5,0.17,0.09,0.15
"32","serie37",0.04,0.02,0.03,0.33,NA,0.1,0.09,0.05,0.03,0.03,0.03,0.04,0.03,0.03,0.33,0.08,0.1,0.13,0.06,0.03,0.05,0.03
"33","serie38",0.08,0.03,0.05,0.67,0.03,NA,0.21,0.05,0.07,0.05,0.07,0.08,0.06,0.06,0.67,0.12,NA,0.27,0.07,0.08,0.05,0.08
"34","serie39",0.34,0.09,0.18,0.55,0.01,NA,0.24,0.4,0.2,NA,0.17,0.37,0.11,0.18,0.55,0.14,0.04,0.36,0.4,0.2,0.08,0.17
"35","serie4",0.08,0.04,0.09,0.5,NA,NA,0.07,0.29,0.09,NA,0.06,0.11,0.07,0.09,0.5,0.09,NA,0.16,0.29,0.09,0.02,0.06
"36","serie40",0.07,0.03,0.06,0.67,NA,0.03,0.11,0.05,0.06,NA,0.06,0.07,0.04,0.06,0.67,0.16,0.05,0.16,0.05,0.06,0.02,0.06
"37","serie41",0.12,0.03,0.17,0.47,NA,0.05,0.22,0.14,0.16,NA,0.14,0.15,0.05,0.17,0.47,NA,0.05,0.37,0.14,0.16,0.07,0.14
"38","serie42",0.05,0.03,0.03,0.86,NA,NA,0.13,0.05,0.05,0.01,0.03,0.05,0.03,0.03,0.86,0.07,NA,0.17,0.05,0.05,0.01,0.03
"39","serie43",0.23,0.07,0.1,0.63,0.01,0.05,0.1,0.71,0.11,0.02,0.12,0.25,0.09,0.12,0.63,0.09,0.1,0.29,0.71,0.11,0.05,0.12
"40","serie44",0.1,0.13,0.15,0.52,0.03,0.04,0.28,0.17,0.14,0.03,0.15,0.1,0.14,0.15,0.52,0.14,0.07,0.37,0.17,0.14,0.08,0.15
"41","serie45",0.12,0.05,0.09,NA,0.01,NA,0.08,0.44,0.08,0.03,0.08,0.25,0.06,0.09,NA,0.09,0.05,0.23,0.44,0.08,0.06,0.08
"42","serie46",0.21,0.03,0.13,0.62,NA,0.07,0.12,0.5,0.13,NA,0.11,0.3,0.05,0.13,0.62,0.11,0.07,0.26,0.5,0.13,0.05,0.11
"43","serie47",0.04,NA,0.01,1,NA,NA,0.04,1,0.01,NA,0.01,0.04,0.01,0.01,1,0.01,NA,0.04,1,0.01,0.01,0.01
"44","serie48",0.1,0.07,0.09,0.59,NA,NA,0.17,0.13,0.11,0.01,0.1,0.11,0.08,0.09,0.59,0.05,NA,0.31,0.13,0.11,0.03,0.1
"45","serie49",0.09,0.05,0.1,0.62,0.02,NA,0.21,0.4,0.1,NA,0.09,0.09,0.05,0.1,0.62,0.19,NA,0.23,0.4,0.1,0.02,0.09
"46","serie5",0.05,0.05,0.05,0.67,0.01,NA,0.14,0.11,0.05,0.01,0.05,0.06,0.06,0.05,0.67,0.08,0.07,0.18,0.11,0.05,0.02,0.05
"47","serie50",0.05,0.04,0.05,0.36,0.02,0.03,0.07,0.05,0.05,0.02,0.05,0.05,0.06,0.05,0.36,0.03,0.05,0.14,0.05,0.05,0.03,0.05
"48","serie51",NA,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,0.01,NA,0.01,0.01,NA,NA,NA,0.03,NA,0.01,NA,0.01
"49","serie52",0.11,0.05,0.16,0.53,NA,0.05,0.13,0.43,0.17,NA,0.13,0.14,0.07,0.16,0.53,0.16,0.09,0.26,0.43,0.17,0.06,0.13
"50","serie53",NA,0.01,0.03,0.67,NA,NA,NA,NA,0.03,NA,0.03,0.04,0.01,0.03,0.67,0.04,NA,0.07,NA,0.03,0.01,0.03
"51","serie54",0.12,0.01,0.04,0.5,0.05,NA,NA,NA,0.04,0.01,0.04,0.12,0.01,0.04,0.5,0.07,NA,0.09,NA,0.04,0.02,0.04
"52","serie55",0.02,0.01,0.02,0.67,NA,NA,0.04,0.05,0.02,NA,0.02,0.02,0.02,0.02,0.67,0.43,0.01,0.07,0.05,0.02,0.01,0.02
"53","serie56",0.06,0.02,0.15,0.3,0.05,0.09,0.13,0.36,0.17,0.05,0.15,0.08,0.07,0.16,0.3,0.16,0.09,0.3,0.36,0.17,0.11,0.15
"54","serie57",0.08,0.03,0.06,0.25,0.01,NA,0.16,0.25,0.06,NA,0.05,0.08,0.04,0.06,0.25,0.05,NA,0.24,0.25,0.06,0.02,0.05
"55","serie58",0.02,0.03,0.08,0.2,NA,NA,0.08,NA,0.07,NA,0.07,0.05,0.03,0.08,0.2,0.08,0.02,0.29,NA,0.07,0.02,0.07
"56","serie59",NA,0.01,NA,1,NA,NA,NA,NA,0.01,NA,0.01,NA,0.01,0.01,1,NA,NA,0.04,NA,0.01,NA,0.01
"57","serie6",0.12,0.05,0.1,0.22,0.01,NA,0.15,NA,0.1,0.01,0.09,0.13,0.08,0.1,0.22,0.08,0.05,0.2,NA,0.1,0.06,0.09
"58","serie60",0.05,0.01,0.04,0.5,NA,0.03,0.08,NA,0.04,0.01,0.04,0.08,0.01,0.04,0.5,0.05,0.03,0.11,NA,0.04,0.01,0.04
"59","serie61",0.08,0.02,0.04,NA,NA,NA,0.09,NA,NA,0.01,0.04,0.19,0.02,0.04,NA,NA,NA,0.12,NA,0.01,0.04,0.04
"60","serie62",0.06,0.05,0.07,0.44,NA,NA,0.14,0.07,0.08,0.01,0.07,0.09,0.08,0.07,0.44,0.14,NA,0.33,0.07,0.08,0.07,0.07
"61","serie63",0.16,0.11,0.11,0.73,NA,NA,0.14,0.6,0.1,NA,0.11,0.18,0.11,0.11,0.73,0.11,NA,0.19,0.6,0.1,0.03,0.11
"62","serie64",NA,0.04,0.05,NA,0.02,0.01,0.07,0.2,0.04,NA,0.04,0.02,0.04,0.05,NA,0.07,0.01,0.13,0.2,0.04,0.02,0.04
"63","serie65",0.46,0.09,0.19,0.5,0.01,0.19,0.14,0.64,0.21,0.01,0.17,0.48,0.13,0.19,0.5,0.17,0.28,0.34,0.64,0.21,0.08,0.18
"64","serie66",NA,0.01,0.01,NA,NA,NA,0.05,NA,0.01,NA,0.01,NA,0.01,0.01,NA,0.05,NA,0.05,NA,0.01,NA,0.01
"65","serie67",0.25,0.07,0.15,0.78,0.01,0.05,0.14,0.78,0.15,0.02,0.21,0.27,0.08,0.15,0.78,0.18,0.05,0.34,0.78,0.15,0.08,0.22
"66","serie68",0.04,0.01,0.02,NA,NA,NA,0.04,NA,0.02,NA,0.01,0.04,0.01,0.02,NA,0.03,NA,0.04,NA,0.02,0.01,0.01
"67","serie69",0.02,0.01,0.02,NA,NA,NA,0.09,0.14,0.02,NA,0.02,0.02,0.02,0.02,NA,0.08,0.02,0.09,0.14,0.02,0.01,0.02
"68","serie7",0.07,0.1,0.08,0.73,0.02,0.04,0.17,0.05,0.02,0.01,0.1,0.08,0.11,0.09,0.73,0.11,0.06,0.35,0.05,0.08,0.07,0.1
"69","serie70",0.05,0.02,0.04,0.4,0.02,NA,0.09,0.4,0.04,NA,0.04,0.08,0.02,0.04,0.4,0.02,NA,0.12,0.4,0.04,0.02,0.04
"70","serie71",0.05,0.05,0.04,0.56,NA,NA,0.29,0.03,0.05,0.01,0.04,0.07,0.06,0.04,0.56,0.14,NA,0.36,0.03,0.05,0.05,0.04
"71","serie72",0.1,0.02,0.06,0.67,NA,0.13,0.12,0.5,0.08,NA,0.07,0.1,0.03,0.06,0.67,0.1,0.13,0.15,0.5,0.08,0.02,0.07
"72","serie73",0.32,NA,0.07,0.89,NA,NA,0.14,1,0.07,NA,0.07,0.32,0.03,0.07,0.89,0.05,NA,0.21,1,0.07,0.03,0.07
"73","serie74",0.05,0.01,0.02,0.67,NA,NA,0.05,0.36,0.03,NA,0.03,0.05,0.01,0.02,0.67,0.08,NA,0.09,0.36,0.03,0.01,0.03
"74","serie75",0.13,0.02,0.13,0.56,0.05,NA,0.21,0.63,0.12,0.03,0.11,0.2,0.04,0.13,0.56,0.14,NA,0.33,0.63,0.13,0.08,0.13
"75","serie76",0.07,NA,0.06,0.5,NA,NA,0.14,0.05,0.06,NA,0.06,0.12,0.03,0.06,0.5,0.11,0.14,0.21,0.07,0.06,0.04,0.06
"76","serie77",0.14,0.02,0.11,0.7,0.04,0.07,0.1,0.58,0.13,NA,0.1,0.14,0.04,0.12,0.7,0.17,0.07,0.25,0.58,0.14,0.08,0.12
"77","serie78",0.06,0.04,0.08,0.64,NA,0.02,0.25,0.06,0.08,NA,0.1,0.09,0.05,0.08,0.64,0.12,0.03,0.34,0.07,0.08,0.04,0.1
"78","serie79",0.03,0.01,0.01,0.8,NA,NA,NA,0.01,0.01,NA,0.02,0.03,0.03,0.02,0.8,0.03,NA,0.07,0.01,0.01,NA,0.02
"79","serie8",0.09,0.08,0.11,0.24,0.01,NA,0.23,0.13,0.11,NA,0.11,0.11,0.09,0.11,0.28,0.07,0.07,0.35,0.13,0.11,0.05,0.11
"80","serie80",0.08,0.06,0.06,0.27,0.04,0.03,0.2,0.07,0.08,0.01,0.07,0.1,0.08,0.07,0.27,0.13,0.09,0.26,0.08,0.1,0.08,0.1
"81","serie81",0.03,0.02,0.09,0.5,NA,NA,0.08,0.31,0.08,0.03,0.09,0.06,0.05,0.09,0.5,0.09,NA,0.22,0.31,0.1,0.04,0.09
"82","serie82",0.41,0.14,0.16,0.67,0.05,0.2,0.15,0.67,0.14,0.04,0.15,0.51,0.14,0.16,0.67,0.16,0.26,0.26,0.67,0.14,0.09,0.15
"83","serie83",NA,0.02,0.03,0.57,NA,NA,0.04,NA,0.02,NA,0.02,NA,0.02,0.03,0.57,0.07,NA,0.08,NA,0.02,NA,0.02
"84","serie84",0.03,0.03,0.04,0.4,NA,NA,0.08,0.17,0.02,NA,0.03,0.03,0.03,0.04,0.4,0.08,NA,0.11,0.17,0.03,0.02,0.03
"85","serie85",0.19,0.06,0.15,0.61,0.03,0.06,0.19,0.43,0.16,NA,0.16,0.19,0.1,0.16,0.61,0.13,0.14,0.34,0.46,0.16,0.06,0.16
"86","serie86",0.21,0.07,0.17,0.64,NA,0.09,0.15,0.64,0.19,0.02,0.14,0.22,0.08,0.17,0.64,0.13,0.17,0.29,0.64,0.19,0.06,0.14
"87","serie87",0.04,0.01,0.02,NA,NA,NA,0.05,NA,0.02,NA,0.01,0.04,0.01,0.02,NA,0.03,NA,0.05,NA,0.02,0,0.01
"88","serie88",0.1,0.08,0.11,0.64,NA,NA,0.3,0.17,0.12,0.01,0.11,0.12,0.11,0.11,0.64,0.19,0.13,0.35,0.19,0.12,0.05,0.11
"89","serie89",0.19,0.03,0.12,0.2,0.01,NA,0.2,0.36,0.1,0.01,0.1,0.25,0.05,0.12,0.2,0.09,0.03,0.29,0.36,0.1,0.04,0.1
"90","serie9",0.02,NA,0.01,0.67,NA,NA,NA,0.05,0.01,NA,0.01,0.02,NA,0.01,0.67,NA,NA,0.02,0.05,0.01,NA,0.01
"91","serie90",0.13,0.1,0.16,0.15,0.01,NA,0.32,NA,0.15,0.02,0.14,0.24,0.11,0.16,0.15,0.14,0.06,0.38,NA,0.15,0.05,0.14
"92","serie91",0.03,0.05,0.12,0.14,NA,0.01,0.11,0.08,0.1,0.02,0.12,0.05,0.06,0.12,0.14,0.23,0.01,0.23,0.08,0.1,0.03,0.12
"93","serie92",0.57,0.09,0.21,0.75,0.04,NA,0.26,0.7,0.19,0.01,0.2,0.57,0.1,0.21,0.75,0.2,NA,0.31,0.7,0.19,0.07,0.2
"94","serie93",0.07,0.04,0.08,0.8,NA,NA,0.11,0.5,0.07,0.02,0.07,0.09,0.05,0.08,0.8,0.08,0.06,0.19,0.5,0.07,0.04,0.07
"95","serie94",0.08,0.06,0.06,0.42,NA,NA,0.09,0.09,0.09,0.01,0.09,0.08,0.09,0.1,0.42,0.13,0.02,0.21,0.13,0.09,0.06,0.1
"96","serie95",0.04,0.04,0.06,0.44,NA,NA,0.15,0.33,0.06,0.01,0.06,0.07,0.04,0.06,0.44,0.09,0.04,0.18,0.33,0.06,0.02,0.06
"97","serie96",0.03,0.02,0.02,NA,NA,NA,0.08,0.12,0.02,NA,0.02,0.04,0.02,0.02,NA,0.05,0.04,0.08,0.12,0.02,0.03,0.02
"98","serie97",0.14,0.15,0.15,0.48,0.01,NA,0.23,0.64,0.16,0.01,0.17,0.19,0.17,0.15,0.48,0.17,0.03,0.3,0.64,0.16,0.1,0.17
"99","serie98",0.14,0.07,0.2,0.5,NA,NA,0.18,0.33,0.21,0.03,0.2,0.22,0.08,0.2,0.5,0.16,NA,0.29,0.33,0.21,0.09,0.2
"100","serie99",0.03,0.06,0.08,0.29,0.02,0.03,0.09,0.04,0.09,0.02,0.08,0.04,0.08,0.09,0.29,0.03,0.04,0.23,0.05,0.1,0.02,0.11
