"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"1","serie1",0.1,0.09,0.13,0.53,NA,NA,0.14,0.39,0.15,0.04,0.14,0.16,0.1,0.13,0.53,0.13,NA,0.24,0.44,0.15,0.07,0.14
"2","serie10",0.1,0.01,0.04,0.33,NA,0.12,NA,0.55,0.05,NA,0.05,0.1,0.03,0.04,0.33,0.1,0.12,0.14,0.55,0.05,0.03,0.05
"3","serie100",0.07,0.06,0.1,0.44,NA,NA,0.12,NA,0.08,0.01,0.08,0.1,0.06,0.1,0.44,0.13,NA,0.2,NA,0.08,0.05,0.08
"4","serie11",0.13,0.03,0.06,0.33,0.03,NA,0.07,0.75,0.06,NA,0.06,0.13,0.05,0.06,0.33,0.08,NA,0.12,0.75,0.06,0.02,0.07
"5","serie12",0.05,0.03,0.04,NA,0.01,NA,0.12,0.02,0.04,0.01,0.04,0.06,0.03,0.04,NA,0.02,0.04,0.15,0.02,0.04,0.01,0.04
"6","serie13",0.29,0.07,0.13,0.35,0.02,0.1,0.12,0.7,0.12,NA,0.13,0.29,0.08,0.13,0.35,0.13,0.1,0.23,0.7,0.12,0.06,0.13
"7","serie14",0.13,0.04,0.11,0.8,0.02,0.07,0.17,0.19,0.11,0.03,0.1,0.15,0.05,0.11,0.8,0.16,0.09,0.24,0.19,0.11,0.06,0.1
"8","serie15",0.26,0.03,0.12,0.46,NA,0.13,0.19,0.5,0.1,0.01,0.1,0.26,0.06,0.12,0.46,0.16,0.23,0.24,0.5,0.1,0.04,0.1
"9","serie16",NA,0.01,0.01,NA,NA,NA,0.04,NA,0.01,NA,0.01,0.02,0.01,0.01,NA,0.04,NA,0.04,NA,0.01,0,0.01
"10","serie17",0.11,0.07,0.11,0.18,0.03,0.04,0.14,0.62,0.1,NA,0.1,0.13,0.09,0.11,0.18,0.14,0.09,0.25,0.62,0.1,0.05,0.1
"11","serie18",NA,NA,0.01,NA,NA,NA,0.05,NA,0.01,NA,0.01,NA,0,0.01,NA,NA,NA,0.05,NA,0.01,0,0.01
"12","serie19",0.07,0.09,0.12,0.29,NA,0.07,0.18,0.5,0.12,NA,0.13,0.1,0.1,0.12,0.29,0.14,0.11,0.33,0.5,0.12,0.06,0.13
"13","serie2",0.25,0.03,0.08,0.57,NA,NA,0.12,0.57,0.07,NA,0.07,0.25,0.03,0.08,0.57,0.09,NA,0.14,0.57,0.07,0.03,0.07
"14","serie20",0.16,0.05,0.15,0.47,0.01,NA,0.13,0.56,0.14,0.02,0.14,0.18,0.08,0.15,0.47,0.09,0.04,0.27,0.56,0.14,0.06,0.14
"15","serie21",0.24,0.09,0.18,0.38,NA,NA,0.22,0.27,0.16,0.03,0.19,0.28,0.09,0.18,0.38,0.19,NA,0.31,0.27,0.17,0.07,0.19
"16","serie22",0.03,0.12,0.08,0.5,NA,NA,0.17,0.02,0.11,NA,0.1,0.04,0.12,0.08,0.5,0.06,0.06,0.27,0.02,0.11,0.02,0.1
"17","serie23",0.08,0.03,0.06,NA,0.02,NA,0.09,0.4,0.06,NA,0.06,0.08,0.04,0.06,NA,0.08,NA,0.15,0.4,0.06,0.01,0.06
"18","serie24",0.04,0.07,0.08,0.17,NA,NA,0.13,0.26,0.1,NA,0.08,0.06,0.09,0.08,0.17,0.19,0.05,0.27,0.26,0.1,0.03,0.08
"19","serie25",NA,0.03,0.06,0.15,NA,NA,0.15,0.03,0.05,0.01,0.05,0.04,0.04,0.06,0.15,0.03,NA,0.3,0.04,0.05,0.02,0.05
"20","serie26",NA,0.02,0.02,0.33,NA,NA,NA,NA,0.02,NA,0.02,NA,0.02,0.02,0.33,0.08,NA,0.08,NA,0.02,NA,0.02
