"","well","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","WELL-00001_20170226220309","P-JUS-CKGL",0,0,NA,NA,NA,0,NA,0,0,NA,0,0,0,0
"2","WELL-00001_20170226220309","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WELL-00001_20170226220309","P-TPT",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
"4","WELL-00001_20170226220309","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WELL-00001_20170226220309","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WELL-00006_20180618110721","P-JUS-CKGL",NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
"7","WELL-00006_20180618110721","P-MON-CKP",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"8","WELL-00006_20180618110721","P-TPT",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"9","WELL-00006_20180618110721","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"10","WELL-00006_20180618110721","T-TPT",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"11","WELL-00006_20180620181348","P-JUS-CKGL",NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA
"12","WELL-00006_20180620181348","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"13","WELL-00006_20180620181348","P-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","WELL-00006_20180620181348","T-JUS-CKP",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"15","WELL-00006_20180620181348","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
