"","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","exchange-2_cpc_results",0.03,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,0.04,NA,0.02
"2","exchange-2_cpm_results",0.04,0.04,0.2,0.01,NA,0.5,NA,0.04,0.04,0.2,0.02,0.04,0.5,NA
"3","exchange-3_cpc_results",0.06,0.15,0.14,0.01,0.09,0.06,0.03,0.06,0.15,0.21,0.03,0.13,0.06,0.03
"4","exchange-3_cpm_results",0.02,0.08,0.07,NA,NA,0.03,0.02,0.02,0.08,0.07,0.01,0.04,0.03,0.02
"5","exchange-4_cpc_results",0.11,0.19,0.2,NA,0.08,0.16,0.01,0.11,0.19,0.2,0.02,0.08,0.16,0.02
"6","exchange-4_cpm_results",0.11,0.19,0.18,NA,0.12,0.19,0.02,0.11,0.19,0.22,0.03,0.13,0.19,0.02
